playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,BA,PA,OBP,SLG,OPS,OPS_Plus,TB
felizne01,2017,2,KCR,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,0.000,0.000,0,0
ferreje01,2017,1,DET,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,0.000,0.000,0,0
fieldjo03,2017,1,LAD,NL,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,0.000,0.000,0,0
fienca01,2017,1,PHI,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,0.000,0.000,0,0
fiersmi01,2017,1,HOU,AL,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,1,0.000,0.000,0.000,-100,0
finnebr01,2017,1,CIN,NL,5,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0.000,6,0.000,0.000,0.000,-100,0
fishede01,2017,1,HOU,AL,53,146,21,31,4,1,5,17,3,3,17,54,1,3,0,0,1,0.212,166,0.307,0.356,0.663,85,52
fistedo01,2017,1,BOS,AL,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,2,0.000,0.000,0.000,-100,0
flaheja01,2017,1,STL,NL,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.000,6,0.000,0.000,0.000,-100,0
flahery01,2017,1,BAL,AL,23,38,5,8,1,0,0,4,0,0,4,10,0,1,0,0,0,0.211,43,0.302,0.237,0.539,50,9
flexech01,2017,1,NYM,NL,13,13,0,2,1,0,0,0,0,0,0,7,0,0,1,0,0,0.154,14,0.154,0.231,0.385,0,3
florera02,2017,1,LAA,AL,3,8,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0.125,9,0.111,0.125,0.236,-36,1
florewi01,2017,1,NYM,NL,110,336,42,91,17,1,18,52,1,1,17,54,1,3,0,6,14,0.271,362,0.307,0.488,0.795,106,164
floripe01,2017,1,PHI,NL,15,46,6,16,4,1,0,6,0,0,3,16,0,0,0,0,1,0.348,49,0.388,0.478,0.866,130,22
florody01,2017,1,CHC,NL,3,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0.000,4,0.000,0.000,0.000,-100,0
flowety01,2017,1,ATL,NL,99,317,41,89,16,0,12,49,0,1,31,82,1,20,0,2,6,0.281,370,0.378,0.445,0.823,117,141
foltymi01,2017,1,ATL,NL,28,42,1,2,0,0,0,0,0,0,0,27,0,0,7,0,0,0.048,49,0.048,0.048,0.095,-75,2
fontano01,2017,1,LAA,AL,12,20,1,1,0,0,1,1,1,1,3,8,0,0,0,0,1,0.050,23,0.174,0.200,0.374,2,4
fontwi01,2017,1,LAD,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,0.000,0.000,0,0
forsylo01,2017,1,LAD,NL,119,361,56,81,19,0,6,36,3,2,69,109,1,4,0,5,12,0.224,439,0.351,0.327,0.678,82,118
fowlede01,2017,1,STL,NL,118,420,68,111,22,9,18,64,7,3,63,101,6,4,0,4,10,0.264,491,0.363,0.488,0.851,122,205
fowledu01,2017,1,NYY,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,0.000,0.000,0,0
francma02,2017,1,PHI,NL,154,575,66,132,29,1,24,76,0,0,41,95,3,2,0,5,21,0.230,623,0.281,0.409,0.690,81,235
frankni01,2017,1,LAA,AL,13,24,2,3,1,0,0,2,0,0,5,3,0,1,0,0,0,0.125,30,0.300,0.167,0.467,33,4
frankni01,2017,2,MIL,NL,53,82,7,16,2,1,2,10,2,0,5,19,0,2,0,0,1,0.195,89,0.258,0.317,0.576,49,26
frankse01,2017,1,CHC,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,0.000,0.000,0,0
fraziad01,2017,1,PIT,NL,121,406,55,112,20,6,6,53,9,5,36,57,2,8,1,3,9,0.276,454,0.344,0.399,0.743,95,162
frazicl01,2017,1,NYY,AL,39,134,16,31,9,4,4,17,1,0,7,43,0,0,0,1,2,0.231,142,0.268,0.448,0.715,84,60
frazito01,2017,1,CHW,AL,81,280,41,58,15,0,16,44,4,3,48,71,1,4,0,3,4,0.207,335,0.328,0.432,0.761,103,121
frazito01,2017,2,NYY,AL,66,194,33,43,4,1,11,32,0,0,35,54,1,10,0,2,6,0.222,241,0.365,0.423,0.788,107,82
freelky01,2017,1,COL,NL,33,52,3,8,1,0,1,2,0,0,1,30,0,0,3,0,0,0.154,56,0.170,0.231,0.401,-2,12
freemfr01,2017,1,ATL,NL,117,440,84,135,35,2,28,71,8,5,65,95,14,7,0,2,9,0.307,514,0.403,0.586,0.989,157,258
