playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,IP,FIP,WHIP
housetj01,2017,1,TOR,AL,0,0,2,0,0,0,0,NULL,3,1,0,1,1,NULL,4.5,0,NULL,0,0,10,NULL,1,NULL,NULL,NULL,2,3.660,2.000
howeljp01,2017,1,TOR,AL,1,1,16,0,0,0,0,NULL,13,9,2,7,6,NULL,7.36,0,NULL,0,0,52,NULL,9,NULL,NULL,NULL,11,6.340,1.818
hoytja01,2017,1,HOU,AL,1,0,43,0,0,0,0,NULL,51,24,7,14,66,NULL,4.38,0,NULL,2,0,211,NULL,24,NULL,NULL,NULL,49,3.300,1.318
huch02,2017,1,TBR,AL,1,1,6,0,0,0,0,NULL,5,3,2,4,9,NULL,2.7,0,NULL,0,0,40,NULL,4,NULL,NULL,NULL,10,5.160,0.900
hudsoda01,2017,1,PIT,NL,2,7,71,0,0,0,0,NULL,57,30,7,33,66,NULL,4.38,1,NULL,5,0,271,NULL,34,NULL,NULL,NULL,61,4.340,1.459
hugheja02,2017,1,MIL,NL,5,3,67,0,0,0,1,NULL,49,20,4,24,48,NULL,3.02,5,NULL,6,0,244,NULL,21,NULL,NULL,NULL,59,3.930,1.223
hugheph01,2017,1,MIN,AL,4,3,14,9,0,0,0,NULL,72,35,12,13,38,NULL,5.87,2,NULL,1,0,244,NULL,38,NULL,NULL,NULL,53,5.430,1.584
hunteto02,2017,1,TBR,AL,3,5,61,0,0,0,1,NULL,43,17,6,14,64,NULL,2.61,0,NULL,1,0,228,NULL,18,NULL,NULL,NULL,58,3.070,0.972
hurshja01,2017,1,ATL,NL,1,0,9,0,0,0,0,NULL,13,6,1,4,7,NULL,5.06,1,NULL,1,0,47,NULL,6,NULL,NULL,NULL,10,4.470,1.594
iglesra01,2017,1,CIN,NL,3,3,63,0,0,0,28,NULL,57,21,5,27,92,NULL,2.49,1,NULL,1,0,306,NULL,22,NULL,NULL,NULL,76,2.700,1.105
infangr01,2017,1,CHW,AL,2,1,52,0,0,0,0,NULL,45,19,4,20,49,NULL,3.13,4,NULL,3,0,227,NULL,20,NULL,NULL,NULL,54,3.580,1.189
iwakuhi01,2017,1,SEA,AL,0,2,6,6,0,0,0,NULL,27,15,7,12,16,NULL,4.35,0,NULL,2,0,128,NULL,16,NULL,NULL,NULL,31,6.420,1.258
jacksed01,2017,1,WSN,NL,5,6,13,13,0,0,0,NULL,75,40,18,25,58,NULL,5.07,2,NULL,0,0,310,NULL,46,NULL,NULL,NULL,71,5.880,1.408
jacksed01,2017,2,BAL,AL,0,0,3,0,0,0,0,NULL,11,4,2,4,2,NULL,7.2,0,NULL,0,0,29,NULL,7,NULL,NULL,NULL,5,9.960,3.000
jackslu01,2017,1,ATL,NL,2,0,43,0,0,0,0,NULL,55,26,4,19,33,NULL,4.62,4,NULL,4,0,224,NULL,26,NULL,NULL,NULL,50,4.240,1.461
jankojo01,2017,1,HOU,AL,1,0,3,0,0,0,0,NULL,7,6,3,2,5,NULL,12.46,0,NULL,0,0,22,NULL,6,NULL,NULL,NULL,4,11.230,2.077
janseke01,2017,1,LAD,NL,5,0,65,0,0,0,41,NULL,44,10,5,7,109,NULL,1.32,0,NULL,2,1,258,NULL,11,NULL,NULL,NULL,68,1.310,0.746
jayemy01,2017,1,DET,AL,1,2,5,2,0,0,0,NULL,18,17,2,10,4,NULL,12.08,0,NULL,3,0,71,NULL,18,NULL,NULL,NULL,12,7.660,2.211
jayjo02,2017,1,CHC,NL,0,0,1,0,0,0,0,NULL,1,0,0,0,0,NULL,0,0,NULL,0,0,4,NULL,0,NULL,NULL,NULL,1,3.160,1.000
jeffrje01,2017,1,MIL,NL,4,0,22,1,0,0,0,NULL,24,10,2,15,22,NULL,3.65,2,NULL,0,0,112,NULL,10,NULL,NULL,NULL,24,4.250,1.581
jeffrje01,2017,2,TEX,AL,1,2,39,0,0,0,0,NULL,49,24,8,19,29,NULL,5.31,2,NULL,2,0,183,NULL,25,NULL,NULL,NULL,40,5.840,1.672
jennida01,2017,1,CHW,AL,3,1,48,0,0,0,0,NULL,35,17,6,19,38,NULL,3.45,4,NULL,1,0,185,NULL,20,NULL,NULL,NULL,44,4.560,1.218
jennida01,2017,2,TBR,AL,0,0,29,0,0,0,0,NULL,18,7,2,12,13,NULL,3.44,3,NULL,0,0,82,NULL,7,NULL,NULL,NULL,18,5.120,1.636
jimenjo02,2017,1,DET,AL,0,2,24,0,0,0,0,NULL,31,26,4,9,17,NULL,12.32,0,NULL,2,0,99,NULL,28,NULL,NULL,NULL,19,5.840,2.105
jimenub01,2017,1,BAL,AL,6,11,31,25,0,0,0,NULL,169,108,33,58,139,NULL,6.81,0,NULL,5,0,648,NULL,109,NULL,NULL,NULL,142,5.540,1.591
johnsbr02,2017,1,BOS,AL,2,0,5,5,1,1,0,NULL,32,13,5,8,21,NULL,4.33,1,NULL,0,0,121,NULL,13,NULL,NULL,NULL,27,4.900,1.481
johnsji04,2017,1,ATL,NL,6,3,61,0,0,0,22,NULL,59,35,8,25,61,NULL,5.56,3,NULL,1,0,256,NULL,39,NULL,NULL,NULL,56,4.220,1.482
johnspi01,2017,1,CHC,NL,0,0,1,0,0,0,0,NULL,2,0,0,1,2,NULL,0,0,NULL,0,0,7,NULL,2,NULL,NULL,NULL,1,2.160,3.000
jonesna01,2017,1,CHW,AL,1,0,11,0,0,0,0,NULL,9,3,1,6,15,NULL,2.31,1,NULL,1,0,49,NULL,3,NULL,NULL,NULL,11,3.500,1.286
jorgefe01,2017,1,MIN,AL,1,0,2,2,0,0,0,NULL,14,9,4,2,4,NULL,10.57,0,NULL,0,0,36,NULL,9,NULL,NULL,NULL,7,9.680,2.087
jungmta01,2017,1,MIL,NL,0,0,1,0,0,0,0,NULL,2,1,0,1,1,NULL,13.5,0,NULL,1,0,6,NULL,1,NULL,NULL,NULL,0,9.160,4.500
junisja01,2017,1,KCR,AL,9,3,20,16,0,0,0,NULL,101,47,15,25,80,NULL,4.3,1,NULL,9,1,422,NULL,52,NULL,NULL,NULL,98,4.550,1.281
kahnlto01,2017,1,CHW,AL,1,3,37,0,0,0,0,NULL,28,10,3,7,60,NULL,2.5,1,NULL,0,0,141,NULL,12,NULL,NULL,NULL,36,1.490,0.972
kahnlto01,2017,2,NYY,AL,1,1,32,0,0,0,0,NULL,25,8,1,10,36,NULL,2.7,0,NULL,2,0,115,NULL,8,NULL,NULL,NULL,26,2.300,1.313
karnsna01,2017,1,KCR,AL,2,2,9,8,0,0,0,NULL,41,21,9,13,51,NULL,4.17,1,NULL,2,0,188,NULL,21,NULL,NULL,NULL,45,4.480,1.191
kelake01,2017,1,TEX,AL,4,1,39,0,0,0,2,NULL,18,12,4,17,51,NULL,2.79,1,NULL,1,1,151,NULL,12,NULL,NULL,NULL,38,3.260,0.905
kellesh01,2017,1,WSN,NL,3,2,33,0,0,0,4,NULL,29,21,12,11,25,NULL,7.27,1,NULL,1,0,121,NULL,21,NULL,NULL,NULL,26,8.620,1.538
kellyjo05,2017,1,BOS,AL,4,1,54,0,0,0,0,NULL,42,18,3,27,52,NULL,2.79,1,NULL,1,0,238,NULL,19,NULL,NULL,NULL,58,3.490,1.190
kendrky01,2017,1,BOS,AL,0,2,2,2,0,0,0,NULL,18,12,1,3,3,NULL,12.96,0,NULL,0,0,45,NULL,12,NULL,NULL,NULL,8,5.080,2.520
kenneia01,2017,1,KCR,AL,5,13,30,30,0,0,0,NULL,143,92,34,61,131,NULL,5.38,2,NULL,5,1,655,NULL,99,NULL,NULL,NULL,154,5.610,1.325
kershcl01,2017,1,LAD,NL,18,4,27,27,1,0,0,NULL,136,45,23,30,202,NULL,2.31,0,NULL,0,2,679,NULL,49,NULL,NULL,NULL,175,3.070,0.949
keuchda01,2017,1,HOU,AL,14,5,23,23,1,0,0,NULL,116,47,15,47,125,NULL,2.9,0,NULL,2,0,584,NULL,50,NULL,NULL,NULL,145,3.790,1.119
kimbrcr01,2017,1,BOS,AL,5,0,67,0,0,0,35,NULL,33,11,6,14,126,NULL,1.43,0,NULL,4,0,254,NULL,11,NULL,NULL,NULL,69,1.420,0.681
kintzbr01,2017,1,MIN,AL,2,2,45,0,0,0,28,NULL,41,14,3,11,27,NULL,2.78,1,NULL,2,0,182,NULL,15,NULL,NULL,NULL,45,3.690,1.147
kintzbr01,2017,2,WSN,NL,2,1,27,0,0,0,1,NULL,25,10,2,5,12,NULL,3.46,1,NULL,1,0,106,NULL,10,NULL,NULL,NULL,26,3.930,1.154
kittran01,2017,1,TBR,AL,0,1,15,0,0,0,0,NULL,13,3,2,6,14,NULL,1.76,1,NULL,0,0,66,NULL,4,NULL,NULL,NULL,15,4.200,1.239
klubeco01,2017,1,CLE,AL,18,4,29,29,5,3,0,NULL,141,51,21,36,265,NULL,2.25,2,NULL,5,0,777,NULL,56,NULL,NULL,NULL,203,2.500,0.869
knebeco01,2017,1,MIL,NL,1,4,76,0,0,0,39,NULL,48,15,6,40,126,NULL,1.78,5,NULL,2,0,309,NULL,15,NULL,NULL,NULL,76,2.530,1.158
kochma01,2017,1,ARI,NL,0,0,1,0,0,0,0,NULL,2,3,0,1,0,NULL,0,0,NULL,0,0,3,NULL,3,NULL,NULL,NULL,0,0.001,0.001
koehlto01,2017,1,TOR,AL,0,2,15,1,0,0,0,NULL,16,5,1,6,18,NULL,2.65,0,NULL,2,0,75,NULL,5,NULL,NULL,NULL,17,3.220,1.294
koehlto01,2017,2,MIA,NL,1,5,12,12,0,0,0,NULL,67,49,15,29,44,NULL,7.92,3,NULL,5,0,259,NULL,50,NULL,NULL,NULL,55,6.910,1.725
kolarad01,2017,1,TBR,AL,1,0,12,0,0,0,0,NULL,9,6,2,4,4,NULL,6.48,2,NULL,4,0,40,NULL,6,NULL,NULL,NULL,8,8.200,1.560
kontoge01,2017,1,PIT,NL,1,1,15,0,0,0,1,NULL,9,3,1,3,15,NULL,1.84,0,NULL,0,0,55,NULL,3,NULL,NULL,NULL,14,2.610,0.818
kontoge01,2017,2,SFG,NL,0,5,50,0,0,0,0,NULL,52,22,8,17,55,NULL,3.83,2,NULL,0,0,223,NULL,24,NULL,NULL,NULL,51,4.030,1.335
krolia01,2017,1,ATL,NL,2,2,51,0,0,0,0,NULL,50,29,8,21,44,NULL,5.33,0,NULL,4,0,214,NULL,34,NULL,NULL,NULL,49,5.020,1.449
kuhlch01,2017,1,PIT,NL,8,11,31,31,0,0,0,NULL,159,76,17,72,142,NULL,4.35,7,NULL,6,1,680,NULL,81,NULL,NULL,NULL,157,4.240,1.468
labouja01,2017,1,DET,AL,0,0,6,0,0,0,0,NULL,4,3,0,7,4,NULL,4.5,1,NULL,0,0,28,NULL,3,NULL,NULL,NULL,6,5.320,1.833
lackejo01,2017,1,CHC,NL,12,12,31,30,0,0,0,NULL,165,87,36,53,149,NULL,4.59,3,NULL,12,2,731,NULL,93,NULL,NULL,NULL,170,5.300,1.277
lametdi01,2017,1,SDP,NL,7,8,21,21,0,0,0,NULL,88,58,18,54,139,NULL,4.57,2,NULL,6,0,485,NULL,63,NULL,NULL,NULL,114,4.350,1.242
latosma01,2017,1,TOR,AL,0,1,3,3,0,0,0,NULL,19,11,5,8,10,NULL,6.6,1,NULL,1,0,70,NULL,11,NULL,NULL,NULL,15,7.960,1.800
lawde01,2017,1,SFG,NL,4,1,41,0,0,0,4,NULL,45,21,5,14,35,NULL,5.06,2,NULL,2,0,168,NULL,21,NULL,NULL,NULL,37,4.310,1.580
lawreca01,2017,1,SEA,AL,2,0,23,0,0,0,0,NULL,56,26,9,14,45,NULL,5.57,1,NULL,1,0,192,NULL,27,NULL,NULL,NULL,42,4.870,1.667
lawreca01,2017,2,TOR,AL,0,3,4,2,0,0,0,NULL,21,13,2,11,7,NULL,8.78,3,NULL,0,0,72,NULL,14,NULL,NULL,NULL,13,6.530,2.400
